Player_Id,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Player-additional
319,Marco Belinelli,2008,2020,G-F,6-5,220,March 25 1986,,belinma01
320,Charlie Bell,2002,2011,G,6-3,200,March 12 1979,Michigan State,bellch01
321,Dennis Bell,1974,1976,F,6-5,185,June 2 1951,Drake University,bellde01
322,Jordan Bell,2018,2022,F,6-8,216,January 7 1995,Oregon,belljo01
323,Raja Bell,2001,2012,G,6-5,204,September 19 1976,Boston University Florida International University,bellra01
324,Troy Bell,2004,2004,G,6-1,180,November 10 1980,Boston College,belltr01
325,Whitey Bell,1960,1961,G,6-0,180,September 13 1932,NC State,bellwh01
326,Walt Bellamy*,1962,1975,C,6-11,225,July 24 1939,Indiana,bellawa01
327,DeAndre' Bembry,2017,2022,F,6-5,210,July 4 1994,Saint Joseph's,bembrde01
328,Irv Bemoras,1954,1957,F-G,6-3,185,November 18 1930,Illinois,bemorir01
329,Leon Benbow,1975,1976,G,6-4,185,July 23 1950,Jacksonville University,benbole01
330,Dragan Bender,2017,2020,F,7-0,249,November 17 1997,,bendedr01
331,Jonathan Bender,2000,2010,F,6-11,202,January 30 1981,,bendejo01
332,Jerrelle Benimon,2015,2015,F,6-8,245,August 1 1991,Georgetown Towson University,benimje01
333,Benoit Benjamin,1986,2000,C,7-0,250,November 22 1964,Creighton,benjabe01
334,Corey Benjamin,1999,2003,G,6-6,200,February 24 1978,Oregon State,benjaco01
335,Anthony Bennett,2014,2017,F,6-8,245,March 14 1993,UNLV,bennean01
336,Elmer Bennett,1995,1997,G,6-0,170,February 13 1970,Notre Dame,benneel01
337,Mario Bennett,1996,2000,F,6-6,235,August 1 1973,Arizona State,bennema01
338,Mel Bennett,1976,1982,F,6-7,200,January 4 1955,Pitt,benneme01
339,Spider Bennett,1969,1969,G,6-3,190,August 4 1943,Winston-Salem State,bennesp01
340,Tony Bennett,1993,1995,G,6-0,175,June 1 1969,Green Bay,benneto01
341,Winston Bennett,1990,1992,F,6-7,210,February 9 1965,Kentucky,bennewi01
342,David Benoit,1992,2001,F,6-8,220,May 9 1968,Alabama,benoida01
343,Keith Benson,2012,2012,C,6-11,240,August 13 1988,Oakland,bensoke02
344,Kent Benson,1978,1988,C,6-11,245,December 27 1954,Indiana,bensoke01
345,Ben Bentil,2017,2017,F,6-9,235,March 29 1995,Providence,bentibe01
346,Gene Berce,1950,1950,G-F,5-11,175,November 22 1926,Marquette,bercege01
347,Gary Bergen,1957,1957,C,6-8,210,July 16 1932,Utah,bergega01
348,Larry Bergh,1970,1970,F,6-8,210,April 2 1945,Weber State,berghla01
349,Joan Beringer,2026,2026,C,6-11,230,November 11 2006,,berinjo01
350,Jules Bernard,2024,2024,F,6-6,210,January 21 2000,UCLA,bernaju01
351,Ricky Berry,1989,1989,F,6-8,205,October 6 1964,Oregon State San Jose State,berryri01
352,Walter Berry,1987,1989,F,6-8,215,May 14 1964,St. John's,berrywa01
353,Dairis Bertāns,2019,2019,G,6-4,183,September 9 1989,,bertada02
354,Dāvis Bertāns,2017,2024,F,6-10,225,November 12 1992,,bertada01
355,Del Beshore,1979,1980,G,5-11,165,November 29 1956,California University of Pennslyvania,beshode01
356,Travis Best,1996,2005,G,5-11,182,July 12 1972,Georgia Tech,besttr01
357,Patrick Beverley,2013,2024,G,6-2,180,July 12 1988,Arkansas,beverpa01
358,Saddiq Bey,2021,2026,F,6-8,215,April 9 1999,Villanova,beysa01
359,Tyler Bey,2021,2021,F,6-7,215,February 10 1998,Colorado,beyty01
360,Sim Bhullar,2015,2015,C,7-5,360,December 2 1992,New Mexico State,bhullsi01
361,Wes Bialosuknia,1968,1968,G,6-2,185,June 8 1945,UConn,bialowe01
362,Al Bianchi,1957,1966,G,6-3,185,March 26 1932,Bowling Green,biancal01
363,Hank Biasatti,1947,1947,G,5-11,175,January 14 1922,Assumption University,biasaha01
364,Henry Bibby,1973,1981,G,6-1,185,November 24 1949,UCLA,bibbyhe01
365,Mike Bibby,1999,2012,G,6-1,190,May 13 1978,Arizona,bibbymi01
366,Ed Biedenbach,1969,1969,G,6-1,175,August 12 1945,NC State,biedeed01
367,Andris Biedriņš,2005,2014,C,6-11,240,April 2 1986,,biedran01
368,Don Bielke,1956,1956,C,6-7,240,May 10 1932,Valparaiso,bielkdo01
369,Bob Bigelow,1976,1979,F-G,6-7,215,December 26 1953,Penn,bigelbo01
370,Lionel Billingy,1975,1975,F-C,6-9,215,August 31 1952,Duquesne,billili01
371,Chauncey Billups*,1998,2014,G,6-3,202,September 25 1976,Colorado,billuch01
372,Dave Bing*,1967,1978,G,6-3,180,November 24 1943,Syracuse,bingda01
373,Joe Binion,1987,1987,F,6-8,235,March 26 1961,North Carolina A&amp;T,biniojo01
374,Khem Birch,2018,2023,C-F,6-8,233,September 28 1992,Pitt UNLV,birchkh01
375,Jabari Bird,2018,2018,G,6-6,198,July 3 1994,California,birdja01
376,Jerry Bird,1959,1959,F,6-6,210,February 2 1935,Kentucky,birdje01
377,Larry Bird*,1980,1992,F,6-9,220,December 7 1956,Indiana State University,birdla01
378,Otis Birdsong,1978,1989,G,6-3,190,December 9 1955,Houston,birdsot01
379,Gale Bishop,1949,1949,F,6-3,195,June 4 1922,Washington State,bishoga01
380,Goga Bitadze,2020,2026,C,6-11,250,July 20 1999,,bitadgo01
381,Onuralp Bitim,2024,2024,F,6-6,215,March 31 1999,,bitimon01
382,Bismack Biyombo,2012,2026,C-F,6-8,255,August 28 1992,,biyombi01
383,Nemanja Bjelica,2016,2022,F,6-10,234,May 9 1988,,bjeline01
384,Uwe Blab,1986,1990,C,7-1,252,March 26 1962,Indiana,blabuw01
385,Anthony Black,2024,2026,G,6-7,200,January 20 2004,Arkansas,blackan01
386,Charlie Black,1949,1952,F-C,6-5,200,June 15 1921,Kansas,blackch01
387,Leaky Black,2024,2024,F,6-6,209,June 14 1999,UNC,blackle01
388,Norman Black,1981,1981,G,6-5,185,November 12 1957,Saint Joseph's,blackno01
389,Tarik Black,2015,2018,C-F,6-9,250,November 22 1991,Memphis Kansas,blackta01
390,Tom Black,1971,1971,C,6-10,220,July 9 1941,South Dakota State,blackto01
391,Rolando Blackman,1982,1994,G,6-6,190,February 26 1959,Kansas State,blackro01
392,Alex Blackwell,1993,1993,F,6-6,250,June 27 1970,Monmouth University,blackal01
393,Cory Blackwell,1985,1985,F,6-6,210,March 27 1963,Wisconsin,blackco01
394,James Blackwell,1995,1995,G,6-0,190,February 25 1968,Dartmouth College,blackja01
395,Nate Blackwell,1988,1988,G,6-4,170,February 15 1965,Temple,blackna01
396,DeJuan Blair,2010,2016,F-C,6-7,270,April 22 1989,Pitt,blairde01
397,Steve Blake,2004,2016,G,6-3,172,February 26 1980,Maryland,blakest01
398,Antonio Blakeney,2018,2019,G,6-4,192,October 4 1996,LSU,blakean01
399,Will Blalock,2007,2007,G,6-0,205,September 8 1983,Iowa State,blalowi01
400,George Blaney,1962,1962,G,6-1,175,November 12 1939,Holy Cross,blanege01
401,Lance Blanks,1991,1993,G,6-4,190,September 9 1966,Virginia Texas,blankla01
402,Ricky Blanton,1993,1993,F,6-7,215,April 21 1966,LSU,blantri01
403,Andray Blatche,2006,2014,F,6-11,235,August 22 1986,,blatcan01
404,Mookie Blaylock,1990,2002,G,6-0,180,March 20 1967,Midland College Oklahoma,blaylmo01
405,Eric Bledsoe,2011,2022,G,6-1,214,December 9 1989,Kentucky,bledser01
406,Keljin Blevins,2021,2022,F,6-4,200,November 24 1995,Southern Miss Montana State,blevike01
407,Leon Blevins,1951,1951,G,6-2,160,June 25 1926,Arizona,blevile01
408,John Block,1967,1976,F-C,6-9,207,April 16 1944,USC,blockjo01
409,Mike Bloom,1948,1949,F-C,6-6,190,January 14 1915,Temple,bloommi01
410,Jaron Blossomgame,2019,2019,F,6-8,220,September 16 1993,Clemson,blossja01
411,Corie Blount,1994,2004,F,6-9,240,January 4 1969,Cincinnati,blounco01
412,Mark Blount,2001,2009,C,7-0,230,November 30 1975,Pitt,blounma01
413,Vander Blue,2014,2018,G,6-4,200,July 17 1992,Marquette,blueva01
414,Ray Blume,1982,1982,G,6-4,185,September 23 1958,Oregon State,blumera01
415,Nelson Bobb,1950,1953,G,6-0,170,February 25 1924,Temple,bobbne01
416,Tony Bobbitt,2005,2005,G,6-4,190,October 22 1979,Cincinnati,bobbito01
417,Bucky Bockhorn,1959,1965,G,6-4,200,July 8 1933,Dayton,bockhbu01
418,Buddy Boeheim,2023,2024,G,6-5,205,November 11 1999,Syracuse,boehebu01
419,Tom Boerwinkle,1969,1978,C,7-0,265,August 23 1945,Tennessee,boerwto01
420,Keith Bogans,2004,2014,G-F,6-5,215,May 12 1980,Kentucky,boganke01
421,Bogdan Bogdanović,2018,2026,G,6-5,225,August 18 1992,,bogdabo01
422,Bojan Bogdanović,2015,2024,G-F,6-7,226,April 18 1989,,bogdabo02
423,Muggsy Bogues,1988,2001,G,5-3,136,January 9 1965,Wake Forest,boguemu01
424,Andrew Bogut,2006,2019,C,7-0,260,November 28 1984,Utah,bogutan01
425,Etdrick Bohannon,1998,2001,F,6-9,220,May 29 1973,Arizona Tennessee Auburn University at Montgomery,bohanet01
426,Bol Bol,2020,2025,F-C,7-3,220,November 16 1999,Oregon,bolbo01
427,Manute Bol,1986,1995,C,7-7,200,October 16 1962,University of Bridgeport,bolma01
428,Jonah Bolden,2019,2020,F,6-8,225,January 2 1996,UCLA,boldejo01
429,Marques Bolden,2020,2024,C,6-10,249,April 17 1998,Duke,boldema01
430,Bill Bolger,1954,1954,F,6-5,205,August 21 1931,Georgetown,bolgebi01
431,Leandro Bolmaro,2022,2023,F,6-6,200,September 11 2000,,bolmale01
432,Joel Bolomboy,2017,2018,F,6-9,235,January 28 1994,Weber State,bolomjo01
433,Doug Bolstorff,1958,1958,G,6-4,195,October 29 1931,Minnesota,bolstdo01
434,George Bon Salle,1962,1962,F,6-8,220,July 1 1935,Illinois,bonsage01
435,Adem Bona,2025,2026,C-F,6-10,235,March 28 2003,UCLA,bonaad01
436,Phil Bond,1978,1978,G,6-2,175,July 27 1954,Louisville,bondph01
437,Walter Bond,1993,1995,G,6-5,200,February 1 1969,Minnesota,bondwa01
438,Jordan Bone,2020,2021,G,6-2,180,November 5 1997,Tennessee,bonejo01
439,Dexter Boney,1997,1997,G,6-4,185,April 27 1970,UNLV,boneyde01
440,Isaac Bonga,2019,2022,G,6-8,180,November 8 1999,,bongais01
441,Ron Bonham,1965,1968,F,6-5,192,May 31 1942,Cincinnati,bonharo01
442,Anthony Bonner,1991,1996,F,6-8,215,June 8 1968,Saint Louis,bonnean01
443,Matt Bonner,2005,2016,F,6-10,235,April 5 1980,Florida,bonnema01
444,Butch Booker,1970,1970,C,6-10,230,July 20 1945,Cheyney (PA),bookebu01
445,Devin Booker,2016,2026,G,6-5,206,October 30 1996,Kentucky,bookede01
446,Melvin Booker,1996,1997,G,6-2,185,August 20 1972,Missouri,bookeme01
447,Trevor Booker,2011,2018,F,6-8,228,November 25 1987,Clemson,booketr01
448,Josh Boone,2007,2010,F-C,6-10,237,November 21 1984,UConn,boonejo01
449,Ron Boone,1969,1981,G-F,6-2,200,September 6 1946,Iowa Western Community College Clarinda Campus Idaho State University,boonero01
450,Calvin Booth,2000,2009,C,6-11,230,May 7 1976,Penn State,boothca01
451,Keith Booth,1998,1999,F,6-6,226,October 9 1974,Maryland,boothke01
452,Bob Boozer,1961,1971,F,6-8,215,April 26 1937,Kansas State,boozebo01
453,Carlos Boozer,2003,2015,F-C,6-9,258,November 20 1981,Duke,boozeca01
454,Curtis Borchardt,2004,2005,C,7-0,240,September 13 1980,Stanford,borchcu01
455,Jake Bornheimer,1949,1950,F-C,6-5,200,June 29 1927,Muhlenberg College,bornhja01
456,Lazaro Borrell,2000,2000,F,6-8,220,September 20 1972,,borrela01
457,Ike Borsavage,1951,1951,C-F,6-8,220,July 25 1924,Temple,borsaik01
458,Vince Boryla,1950,1954,F,6-5,210,March 11 1927,Notre Dame Denver,borylvi01
459,Chris Bosh*,2004,2016,F-C,6-11,235,March 24 1984,Georgia Tech,boshch01
460,Jim Bostic,1978,1978,F,6-7,225,January 28 1953,New Mexico State,bostiji01
461,Brandon Boston Jr.,2022,2025,G-F,6-6,188,November 28 2001,Kentucky,bostobr01
462,Lawrence Boston,1980,1980,F,6-8,225,May 18 1956,Vincennes University Maryland,bostola01
463,Tom Boswell,1976,1984,F-C,6-9,220,October 2 1953,South Carolina State South Carolina,bosweto01
464,Chris Boucher,2018,2026,F,6-8,200,January 11 1993,New Mexico Junior College Northwest College Oregon,bouchch01
465,James Bouknight,2022,2024,G,6-4,190,September 18 2000,UConn,bouknja01
466,Ruben Boumtje-Boumtje,2002,2004,C,7-0,257,May 20 1978,Georgetown,boumtru01
467,Jamaree Bouyea,2023,2026,G,6-2,180,June 27 1999,San Francisco,bouyeja01
468,Don Boven,1950,1953,F-G,6-4,210,March 6 1925,Western Michigan,bovendo01
469,Cal Bowdler,2000,2002,F,6-10,245,March 31 1977,Old Dominion,bowdlca01
470,Brian Bowen,2020,2021,F,6-7,199,October 2 1998,,bowenbr02
471,Bruce Bowen,1997,2009,F,6-7,185,June 14 1971,Cal State Fullerton,bowenbr01
472,Ryan Bowen,2000,2010,F,6-7,215,November 20 1975,Iowa,bowenry01
473,Tommie Bowens,1968,1970,F-C,6-8,220,July 7 1940,Grambling State University,bowento01
474,Anthony Bowie,1989,1998,G-F,6-6,190,November 9 1963,Oklahoma,bowiean01
475,Sam Bowie,1985,1995,C-F,7-1,235,March 17 1961,Kentucky,bowiesa01
476,Orb Bowling,1968,1968,C,6-10,215,March 21 1939,Tennessee,bowlior01
477,Ira Bowman,2000,2002,G,6-5,195,June 11 1973,Providence Penn,bowmair01
478,Ky Bowman,2020,2020,G,6-1,187,June 16 1997,Boston College,bowmaky01
479,Nate Bowman,1967,1972,C,6-10,230,March 19 1943,Wichita State,bowmana01
480,Donnie Boyce,1996,1997,G,6-5,196,September 2 1973,Colorado,boycedo01
481,Dennis Boyd,1979,1979,G,6-1,175,May 21 1954,Detroit Mercy,boydde01
482,Freddie Boyd,1973,1978,G,6-2,180,June 13 1950,Oregon State,boydfr01
483,Ken Boyd,1975,1975,F,6-5,195,March 25 1952,Boston University,boydke01
484,Earl Boykins,1999,2012,G,5-5,135,June 2 1976,Eastern Michigan,boykiea01
485,Harry Boykoff,1950,1951,C,6-10,225,July 24 1922,St. John's,boykoha01
486,Winford Boynes,1979,1981,G-F,6-6,185,May 17 1957,San Francisco,boynewi01
487,Cedric Bozeman,2007,2007,G,6-6,207,March 7 1983,UCLA,bozemce01
488,Steve Bracey,1973,1975,G,6-1,175,August 1 1950,Tulsa,bracest01
489,Craig Brackins,2011,2012,F,6-10,230,October 9 1987,Iowa State,brackcr01
490,Gary Bradds,1965,1971,F,6-8,210,July 26 1942,Ohio State,braddga01
491,Alex Bradley,1982,1982,F,6-6,215,October 30 1959,Villanova,bradlal02
492,Alonzo Bradley,1978,1980,F,6-6,190,October 16 1953,Texas Southern,bradlal01
493,Avery Bradley,2011,2022,G,6-3,180,November 26 1990,Texas,bradlav01
494,Bill Bradley,1968,1968,G,5-11,165,June 16 1941,Tennessee State,bradlbi02
495,Bill Bradley*,1968,1977,F-G,6-5,205,July 28 1943,Princeton,bradlbi01
496,Charles Bradley,1982,1984,G,6-5,215,May 16 1959,Wyoming,bradlch01
497,Dudley Bradley,1980,1989,G-F,6-6,195,March 19 1957,UNC,bradldu01
498,Jim Bradley,1974,1976,F,6-8,215,March 16 1952,Northern Illinois,bradlji01
499,Joe Bradley,1950,1950,G,6-3,175,September 24 1928,Oklahoma State,bradljo01
500,Michael Bradley,2002,2006,F-C,6-10,245,April 18 1979,Kentucky Villanova,bradlmi01
501,Shawn Bradley,1994,2005,C,7-6,235,March 22 1972,BYU,bradlsh01
502,Tony Bradley,2018,2026,F-C,6-10,248,January 8 1998,UNC,bradlto01
503,Mark Bradtke,1997,1997,C-F,6-10,265,September 27 1968,,bradtma01
504,Marques Bragg,1996,1996,F,6-8,230,March 24 1970,Providence,braggma01
505,Torraye Braggs,2004,2005,F,6-8,245,May 15 1976,Xavier,braggto01
506,A.J. Bramlett,2000,2000,C,6-10,227,January 10 1977,Arizona,bramlaj01
507,Adrian Branch,1987,1990,F-G,6-7,185,November 17 1963,Maryland,brancad01
508,Elton Brand,2000,2016,F-C,6-9,275,March 11 1979,Duke,brandel01
509,Terrell Brandon,1992,2002,G,5-11,180,May 20 1970,Oregon,brandte01
510,Malaki Branham,2023,2026,G,6-4,180,May 12 2003,Ohio State,branhma01
511,Bob Brannum,1950,1955,F-C,6-5,215,May 28 1926,Kentucky Michigan State,brannbo01
512,Brad Branson,1982,1983,C-F,6-10,220,September 24 1958,SMU,bransbr01
513,Jesse Branson,1966,1968,F,6-7,195,January 7 1942,Elon University,bransje01
514,Jarrell Brantley,2020,2023,F,6-5,250,June 7 1996,College of Charleston,brantja01
515,Jim Brasco,1953,1953,G,6-1,170,February 3 1931,NYU,brascji01
516,Mike Bratz,1978,1986,G,6-2,185,October 17 1955,Stanford,bratzmi01
517,Carl Braun*,1948,1962,G-F,6-5,180,September 25 1927,Colgate,braunca01
518,Christian Braun,2023,2026,G,6-6,220,April 17 2001,Kansas,braunch01
519,Ignas Brazdeikis,2020,2022,F,6-6,221,January 8 1999,Michigan,brazdig01
520,Koby Brea,2026,2026,G,6-5,215,November 6 2002,Dayton Kentucky,breako01
521,Tim Breaux,1995,1998,F,6-7,215,September 19 1970,Wyoming,breauti01
522,J.R. Bremer,2003,2004,G,6-2,185,September 19 1980,St. Bonaventure,bremejr01
523,Pete Brennan,1959,1959,F,6-6,205,September 23 1936,UNC,brennpe01
524,Tom Brennan,1955,1955,F,6-3,195,August 6 1930,Villanova,brennto01
525,Randy Breuer,1984,1994,C,7-3,230,October 11 1960,Minnesota,breuera01
526,Corey Brewer,2008,2020,F-G,6-9,186,March 5 1986,Florida,breweco01
527,Jamison Brewer,2002,2005,G,6-4,184,November 19 1980,Auburn,breweja01
528,Jim Brewer,1974,1982,F-C,6-9,210,December 3 1951,Minnesota,breweji01
529,Ron Brewer,1979,1986,G,6-4,180,July 16 1955,University of Arkansas-Fort Smith Arkansas,brewero01
530,Ronnie Brewer,2007,2014,G-F,6-7,220,March 20 1985,Arkansas,brewero02
531,Primož Brezec,2002,2010,C,7-2,252,October 2 1979,,brezepr01
532,Frankie Brian,1950,1956,G,6-1,180,May 1 1923,LSU,brianfr01
533,Frank Brickowski,1985,1997,F-C,6-9,240,August 14 1959,Penn State,brickfr01
534,Junior Bridgeman,1976,1987,F-G,6-5,210,September 17 1953,Louisville,bridgju01
535,Bill Bridges,1963,1975,F-C,6-6,228,April 4 1939,Kansas,bridgbi01
536,Jalen Bridges,2025,2025,F,6-7,225,May 14 2001,West Virginia Baylor,bridgja01
537,Mikal Bridges,2019,2026,F-G,6-6,209,August 30 1996,Villanova,bridgmi01
538,Miles Bridges,2019,2026,G-F,6-7,225,March 21 1998,Michigan State,bridgmi02
539,Al Brightman,1947,1947,F,6-2,195,September 22 1923,University of Charleston,brighal01
540,Amida Brimah,2021,2021,C,6-10,230,February 11 1994,UConn,brimaam01
541,Aud Brindley,1947,1947,F,6-4,175,December 31 1923,Dartmouth College,brindau01
542,Isaiah Briscoe,2019,2019,G,6-3,215,April 13 1996,Kentucky,briscis01
543,John Brisker,1970,1975,F-G,6-5,210,June 15 1947,Toledo,briskjo01
544,Oshae Brissett,2020,2025,F,6-7,210,June 20 1998,Syracuse,brissos01
545,Allan Bristow,1974,1983,F-G,6-7,210,August 23 1951,Virginia Tech,bristal01
546,Tyrone Britt,1968,1968,G,6-4,190,April 18 1944,Johnson C. Smith University,brittty01
547,Wayman Britt,1978,1978,G,6-2,185,August 31 1952,Michigan,brittwa01
548,Mike Brittain,1986,1987,C,7-0,235,June 21 1963,South Carolina,brittmi01
549,Dave Britton,1981,1981,G,6-4,180,August 29 1958,Texas A&amp;M,brittda01
550,Izaiah Brockington,2024,2024,G,6-4,196,July 12 1999,St. Bonaventure Penn State Iowa State,brockiz01
551,Jon Brockman,2010,2012,F,6-7,255,March 20 1987,Washington,brockjo01
552,Ryan Broekhoff,2019,2020,F,6-6,215,August 23 1990,Valparaiso,broekry01
553,Jim Brogan,1982,1983,G,6-4,185,February 24 1958,West Virginia Wesleyan College,brogaji01
554,Malcolm Brogdon,2017,2025,G,6-4,229,December 11 1992,Virginia,brogdma01
555,Gary Brokaw,1975,1978,G,6-4,178,January 11 1954,Notre Dame,brokaga01
556,Price Brookfield,1949,1950,F-G,6-4,185,May 11 1920,West Texas A&amp;M University,brookpr01
557,Clarence Brookins,1971,1971,F,6-4,190,November 17 1946,Temple,brookcl01
558,Aaron Brooks,2008,2018,G,6-0,161,January 14 1985,Oregon,brookaa01
559,Armoni Brooks,2021,2024,G,6-3,195,June 5 1998,Houston,brookar01
560,Dillon Brooks,2018,2026,F-G,6-7,225,January 22 1996,Oregon,brookdi01
561,Keion Brooks Jr.,2025,2025,F,6-7,210,August 7 2000,Kentucky Washington,brookke02
562,Kevin Brooks,1992,1994,F,6-6,200,October 12 1969,Louisiana,brookke01
563,MarShon Brooks,2012,2019,G-F,6-5,200,January 26 1989,Providence,brookma01
564,Michael Brooks,1981,1988,F,6-7,220,August 17 1958,La Salle,brookmi01
565,Scott Brooks,1989,1998,G,5-11,165,July 31 1965,TCU University of California Irvine,brooksc01
566,Johni Broome,2026,2026,F-C,6-10,235,July 19 2002,Morehead State University Auburn,broomjo01
567,Andre Brown,2007,2009,F,6-9,245,May 12 1981,DePaul,brownan01
568,Anthony Brown,2016,2018,F-G,6-7,224,October 10 1992,Stanford,brownan02
569,Bob Brown,1949,1950,F,6-4,205,November 12 1923,Miami University,brownbo01
570,Bobby Brown,2009,2018,G,6-2,175,September 24 1984,Cal State Fullerton,brownbo02
571,Bruce Brown,2019,2026,G-F,6-4,202,August 15 1996,Miami (FL),brownbr01
572,Charlie Brown Jr.,2020,2024,G,6-6,199,February 2 1997,Saint Joseph's,brownch02
573,Chaundee Brown Jr.,2022,2022,G-F,6-5,215,December 4 1998,Wake Forest Michigan,brownch05
574,Chucky Brown,1990,2002,F,6-7,214,February 29 1968,NC State,brownch01
575,Damone Brown,2002,2005,F,6-9,200,June 28 1979,Syracuse,brownda02
576,Darrel Brown,1949,1949,F,6-2,175,March 14 1923,Humboldt State University,brownda01
577,Dee Brown,1991,2002,G,6-2,205,November 29 1968,Jacksonville University,brownde01
578,Dee Brown,2007,2009,G,6-0,185,August 17 1984,Illinois,brownde03
579,Derrick Brown,2010,2012,F,6-7,225,September 8 1987,Xavier,brownde04
580,Devin Brown,2003,2010,G,6-5,220,December 30 1978,Texas-San Antonio,brownde02
581,Ernest Brown,2002,2002,C,7-0,244,May 17 1979,Indian Hills Community College,browner01
582,Fred Brown,1972,1984,G,6-3,182,August 7 1948,Southeastern Iowa Community College West Burlington Campus Iowa,brownfr01
583,George Brown,1958,1958,F,6-6,190,October 30 1935,Wayne State University,brownge01
584,Gerald Brown,1999,1999,G,6-4,210,July 28 1975,Pepperdine,brownge02
585,Greg Brown III,2022,2024,F,6-7,206,September 1 2001,Texas,browngr01
586,Harold Brown,1947,1947,G,6-0,155,October 2 1923,University of Evansville,brownha01
587,Jabari Brown,2015,2015,G,6-4,215,December 18 1992,Oregon Missouri,brownja01
588,Jaylen Brown,2017,2026,F-G,6-6,223,October 24 1996,California,brownja02
589,John Brown,1974,1980,F,6-7,220,December 14 1951,Missouri,brownjo01
590,Kedrick Brown,2002,2005,G,6-7,222,March 18 1981,Okaloosa-Walton Community College,brownke01
